pile_length_m,0.3_circular,0.3_rectangular,0.35_circular,0.35_rectangular,0.4_circular,0.4_rectangular
15.0,479.2646187908017,610.2186650368718,616.7096889488613,785.219163591012,771.8756440097935,982.7825935711901
15.1,482.114520178348,613.847272182091,618.1548758135534,787.0592326566697,777.2664500430561,989.6463809907372
15.2,484.09568576696836,616.3697705541912,623.7610213030166,794.197198787393,780.8266867499235,994.1794151545382
15.3,490.35495040311537,624.3393138098957,631.2418693119272,803.7221103004915,789.8175666044639,1005.6269589273018
15.4,469.8423162307423,598.2218168149444,596.7677250112853,759.8282665060076,744.3868011006639,947.7827117402736
15.5,473.1619784691076,602.4485420519952,603.170351485974,767.9803437237498,748.6922725601615,953.2646082612342
15.6,483.3773930780979,615.4552118980268,613.0505005464253,780.5601402153941,753.3368039903901,959.1782093449671
15.7,512.9839874045354,653.1514985793789,650.3429746504091,828.0423929655984,806.75828788358,1027.196555176209
15.8,508.99641674425095,648.074365927279,641.96241282845,817.3719302467825,803.4611335091464,1022.9984878415836
15.9,486.04670919274844,618.853890732599,617.153659330251,785.7844442372885,771.7131452977927,982.5756937851021
16.0,470.07191676052656,598.5141532889581,603.5583215928989,768.4743226060617,751.7557499327894,957.1651487964657
16.1,467.8553055232372,595.691876206337,599.2095475501225,762.9372915236803,745.9697597812027,949.7981973300169
16.2,499.3457012231529,635.7866932908274,635.1408131207181,808.6863997405443,793.3507730192877,1010.1255770543673
16.3,499.74239740030174,636.2917825508187,636.0512755248401,809.8456364774672,797.902719484796,1015.92129529977
16.4,496.26253500356273,631.8610841370541,634.8037337920371,808.2572170095549,806.7930549601406,1027.2408219929407
16.5,512.0207764406725,651.9251002902662,662.3366281036078,843.3131868280605,817.3379257116965,1040.666968427943
16.6,493.79838301277454,628.7236283781446,621.779787323742,791.6746133376072,766.9436899033751,976.5030345700791
16.7,519.2099867947557,661.0786872085043,650.6483130530141,828.4311618943215,796.6892746981516,1014.376289412062
16.8,511.02787534862307,650.6608993558583,627.6775220380873,799.1838424002693,786.2024794185431,1001.0240869645222
16.9,513.5098489926256,653.8210463483928,653.0516944491558,831.4912421289696,817.5940201648106,1040.993038012835
17.0,515.774151903786,656.7040463561409,659.0672152874856,839.1504411425099,811.033370632868,1032.6397595896178
17.1,521.3593092659512,663.8152895732184,661.3828375792897,842.0987830151047,815.4533591798204,1038.2674637948737
17.2,530.6218834111882,675.6087652609755,671.9075577495363,855.4992729331344,836.2574464567173,1064.756050407941
17.3,516.4346610879207,657.5450327690421,653.5332410353682,832.1043662851672,819.1408920093712,1042.9625764159673
17.4,521.8921235368597,664.4936897729382,674.0143635311292,858.1817413673351,773.3299664933762,984.6342944680853
17.5,532.6895806434591,678.2414391436425,693.8092485369605,883.3853717402452,780.6053567749874,993.8976090780145
17.6,540.6383981286307,688.3621878996452,562.7941735579875,716.571797320574,737.7318165581019,939.3093222510827
17.7,542.4266742564838,690.6390917825337,572.8068676647953,729.3203554066982,919.9314210586319,1171.293063736264
17.8,457.0121485827978,581.88594,619.7349822830813,789.0710866985644,927.5644288191855,1181.0117110622712
17.9,513.7982154752505,654.1882059574469,708.7930193075254,902.4633012145747,922.4320137342353,1174.4769172161173
18.0,598.8212858949687,762.4429414306344,735.4761375332447,936.4373025164047,939.7026516836565,1196.4665764161246
18.1,567.7018258369521,722.8204142739612,717.836615392862,913.977965377038,914.316605757743,1164.1440588587884
18.2,578.1036191210347,736.0643888194157,738.9706721196883,940.8866821423093,875.3062951412288,1114.4745887294403
18.3,564.56893540734,718.8314942896573,678.4223155253269,863.7941201576423,815.3513128974879,1038.1375344328148
18.4,510.7029410900619,650.2471802084194,612.2988271013371,779.6030798603808,735.6510488420981,936.6600065116581
18.5,502.3300368935541,639.5864674811467,611.2203622354676,778.2299357455483,726.5071798564413,925.0176709272425
18.6,566.7321575564583,721.5857942739613,724.6586527803545,922.6640531544551,867.5165649459295,1104.5563962019678
18.7,598.6496980645952,762.2244690196081,747.9361161651065,952.3018400370463,900.0905382310411,1146.0308671177186
18.8,597.2253132468111,760.4108859426849,756.6650681110116,963.4158868386655,911.9647393427629,1161.149569535301
18.9,582.2698000851527,741.3689351734544,744.6670126252068,948.1394881342123,894.4368673311677,1138.8323897550813
19.0,566.6119850940892,721.4327859426851,708.6156950010638,902.2375248953458,853.9918875115854,1087.3362420627739
19.1,531.6505211295076,676.9184674811466,655.6274357818863,834.7707778508114,789.6343426376745,1005.3936709272424
19.2,507.8240557972119,646.5816696088062,624.3221677135365,794.9116725876536,748.6370868815603,953.1943436729365
19.3,549.6805690454127,699.8750374811467,683.3182502447166,870.0278178508113,846.5977365364806,1077.921716641528
19.4,590.2080900662322,751.4762798949398,739.9061922507341,942.0778233680528,972.3864923054452,1238.0809347696072
19.5,616.6075431190342,785.0891074811468,810.7921652238844,1032.3326473244956,1112.3768101333937,1416.322143308195
19.6,641.2376908824097,816.4491856061467,915.4334287534073,1165.5660420613378,1280.3555253260874,1630.199286165338
19.7,672.2218325061336,855.8994199811466,983.1645387304513,1251.8039696929168,,
19.8,685.2201622928844,872.4494074811467,984.902917323524,1254.0173420613378,,
19.9,588.0138995718725,748.6825497888391,,,,
20.0,709.6092614578026,903.5025729983881,,,,
